Bandera,Equipo,Grupo,Posición
🇲🇽,México,Grupo A,A1
🇿🇦,Sudáfrica,Grupo A,A2
🇰🇷,Corea del Sur,Grupo A,A3
🇨🇿,Chequia,Grupo A,A4
🇨🇦,Canadá,Grupo B,B1
🇧🇦,Bosnia y Herzegovina,Grupo B,B2
🇶🇦,Catar,Grupo B,B3
🇨🇭,Suiza,Grupo B,B4
🇧🇷,Brasil,Grupo C,C1
🇲🇦,Marruecos,Grupo C,C2
🇭🇹,Haití,Grupo C,C3
🏴󠁧󠁢󠁳󠁣󠁴󠁿,Escocia,Grupo C,C4
🇺🇸,Estados Unidos,Grupo D,D1
🇵🇾,Paraguay,Grupo D,D2
🇦🇺,Australia,Grupo D,D3
🇹🇷,Turquía,Grupo D,D4
🇩🇪,Alemania,Grupo E,E1
🇨🇼,Curazao,Grupo E,E2
🇨🇮,Costa de Marfil,Grupo E,E3
🇪🇨,Ecuador,Grupo E,E4
🇳🇱,Países Bajos,Grupo F,F1
🇯🇵,Japón,Grupo F,F2
🇸🇪,Suecia,Grupo F,F3
🇹🇳,Túnez,Grupo F,F4
🇧🇪,Bélgica,Grupo G,G1
🇪🇬,Egipto,Grupo G,G2
🇮🇷,Irán,Grupo G,G3
🇳🇿,Nueva Zelanda,Grupo G,G4
🇪🇸,España,Grupo H,H1
🇨🇻,Cabo Verde,Grupo H,H2
🇸🇦,Arabia Saudita,Grupo H,H3
🇺🇾,Uruguay,Grupo H,H4
🇫🇷,Francia,Grupo I,I1
🇸🇳,Senegal,Grupo I,I2
🇮🇶,Irak,Grupo I,I3
🇳🇴,Noruega,Grupo I,I4
🇦🇷,Argentina,Grupo J,J1
🇩🇿,Argelia,Grupo J,J2
🇦🇹,Austria,Grupo J,J3
🇯🇴,Jordania,Grupo J,J4
🇵🇹,Portugal,Grupo K,K1
🇨🇩,República Democrática del Congo,Grupo K,K2
🇺🇿,Uzbekistán,Grupo K,K3
🇨🇴,Colombia,Grupo K,K4
🏴󠁧󠁢󠁥󠁮󠁧󠁿,Inglaterra,Grupo L,L1
🇭🇷,Croacia,Grupo L,L2
🇬🇭,Ghana,Grupo L,L3
🇵🇦,Panamá,Grupo L,L4
